,brand,name,bodyType,color,fuelType,year,mileage,transmission,power,price,vehicleConfiguration,engineName,engineDisplacement,location,parse_date
11082,Toyota,Corolla,sedan,white,Gasoline,1996.0,160000.0,AT,100.0,185000,1.5 SE saloon,5A-FE,1.5 LTR,"Bắc Từ Liêm, Hà Nội, Việt Nam",2022-08-20 04:00:00
3751,Daihatsu,Coo,hatchback 5 doors,white,Gasoline,2006.0,161000.0,AT,92.0,430000,1.3 CL,K3-VE,1.3 LTR,"Ba Đình, Hà Nội, Việt Nam",2022-08-20 04:00:00
4102,Toyota,C-HR,jeep 5 doors,black,Gasoline,2017.0,55000.0,CVT,98.0,1730000,Hybrid 1.8 G LED Edition,2ZR-FXE,1.8 LTR,"Quận 8, Thành phố Hồ Chí Minh, Việt Nam",2022-08-20 04:00:00
14797,Nissan,Primera,sedan,grey,Gasoline,,341000.0,AT,125.0,150000,,,,"Thanh Xuân, Hà Nội, Việt Nam",2022-08-20 04:00:00
1575,Toyota,Land Cruiser Prado,jeep 5 doors,blue,Diesel,1991.0,200000.0,AT,97.0,1430000,2.4DT 70 Prado EX,2L-TE,2.4 LTR,"Đông Triều, Quảng Ninh, Việt Nam",2022-08-20 04:00:00
13529,Honda,Fit,hatchback 5 doors,white,Gasoline,2007.0,150000.0,CVT,86.0,385000,1.3A HDD navi HID edition,L13A,1.3 LTR,"Móng Cái, Quảng Ninh, Việt Nam",2022-08-20 04:00:00
14976,Honda,Fit,hatchback 5 doors,grey,Gasoline,2015.0,96000.0,Robot,110.0,850000,1.5 Hybrid L Package,LEB,1.5 LTR,"Bắc Từ Liêm, Hà Nội, Việt Nam",2022-08-20 04:00:00
3229,Lexus,LS600hL,sedan,black,Gasoline,2007.0,125000.0,CVT,394.0,1555000,5.0 CVT Premium,2UR-FSE,5.0 LTR,"Hoàng Mai, Hà Nội, Việt Nam",2022-08-20 04:00:00
13172,Honda,HR-V,jeep 3 doors,white,Gasoline,1999.0,257000.0,CVT,105.0,300000,1.6 J4,D16A,1.6 LTR,"Hạ Long, Quảng Ninh, Việt Nam",2022-08-20 04:00:00
6467,Mercedes-Benz,S-Class,sedan,silver,Gasoline,,130000.0,Automatic,250.0,465000,,,,"Hai Bà Trưng, Hà Nội, Việt Nam",2022-08-20 04:00:00
6077,Honda,CR-Z,hatchback 3 door,red,Gasoline,2010.0,128000.0,CVT,113.0,656000,1.5 Alpha,LEA,1.5 LTR,"Bắc Từ Liêm, Hà Nội, Việt Nam",2022-08-20 04:00:00
6437,Nissan,Avenir,station wagon,,Diesel,,133000.0,Manual,76.0,77000,,,,"Móng Cái, Quảng Ninh, Việt Nam",2022-08-20 04:00:00
11063,Honda,Fit Shuttle,station wagon,violet,Gasoline,2013.0,118000.0,CVT,120.0,850000,1.5 15C,L15A,1.5 LTR,"Móng Cái, Quảng Ninh, Việt Nam",2022-08-20 04:00:00
8421,Honda,Accord,sedan,black,Gasoline,2008.0,222000.0,AT,201.0,820000,2.4 AT Type-S,K24Z3,2.4 LTR,"Uông Bí, Quảng Ninh, Việt Nam",2022-08-20 04:00:00
7203,Toyota,Estima,minivan,black,Gasoline,,88000.0,CVT,170.0,415000,,,,"Bắc Từ Liêm, Hà Nội, Việt Nam",2022-08-20 05:00:00
1862,Toyota,Land Cruiser Prado,jeep 5 doors,silver,Gasoline,,230000.0,AT,185.0,975000,,,,"Hạ Long, Quảng Ninh, Việt Nam",2022-08-20 05:00:00
1147,Ford,Escape,jeep 5 doors,red,Gasoline,2000.0,175000.0,AT,203.0,300000,3.0 XLT 4WD,AJ,3.0 LTR,"Hoàng Mai, Hà Nội, Việt Nam",2022-08-20 05:00:00
9600,Honda,Edix,minivan,,Gasoline,,180000.0,Automatic,130.0,590000,,,,"Móng Cái, Quảng Ninh, Việt Nam",2022-08-20 05:00:00
10989,Mazda,Demio,hatchback 5 doors,black,Gasoline,,200000.0,AT,91.0,360000,,,,"Hạ Long, Quảng Ninh, Việt Nam",2022-08-20 05:00:00
14646,Toyota,Crown,sedan,,Gasoline,,150000.0,AT,200.0,100000,,,,"Cầu Giấy, Hà Nội, Việt Nam",2022-08-20 05:00:00
6105,Toyota,Crown,sedan,white,Gasoline,2018.0,74000.0,CVT,184.0,2520000,2.5 G,A25A-FXS,2.5 LTR,"Quận 8, Thành phố Hồ Chí Minh, Việt Nam",2022-08-20 05:00:00
10336,Honda,Vezel,jeep 5 doors,grey,Gasoline,2016.0,17000.0,Robot,132.0,1585000,1.5 Hybrid X Honda Sensing,LEB,1.5 LTR,"Quận 1, Thành phố Hồ Chí Minh, Việt Nam",2022-08-20 05:00:00
4752,Honda,Accord,sedan,black,Gasoline,2013.0,200000.0,CVT,143.0,1340000,Plug-In Hybrid 2.0 SX,LFA,2.0 LTR,"Hải Phòng, Hải Phòng, Việt Nam",2022-08-20 05:00:00
12769,Mitsubishi,Lancer,station wagon,white,Gasoline,,238000.0,AT,90.0,150000,,,,"Uông Bí, Quảng Ninh, Việt Nam",2022-08-20 05:00:00
5267,Honda,HR-V,jeep 3 doors,blue,Gasoline,,265000.0,CVT,105.0,405000,,,,"Quận 1, Thành phố Hồ Chí Minh, Việt Nam",2022-08-20 05:00:00
8693,Honda,Fit Shuttle,station wagon,white,Gasoline,2012.0,137000.0,CVT,88.0,749000,1.3 C,LDA,1.3 LTR,"Thanh Xuân, Hà Nội, Việt Nam",2022-08-20 05:00:00
11623,Mitsubishi,Mirage,hatchback 5 doors,grey,Gasoline,2012.0,113000.0,CVT,69.0,420000,1.0 G,3A90,1.0 LTR,"Móng Cái, Quảng Ninh, Việt Nam",2022-08-20 05:00:00
1288,Toyota,Harrier,jeep 5 doors,black,Gasoline,2017.0,25000.0,CVT,152.0,3199999,2.5 Hybrid E-Four Progress Metal and Leather Package 4WD,2AR-FXE,2.5 LTR,"Hoàng Mai, Hà Nội, Việt Nam",2022-08-20 05:00:00
2922,Toyota,Land Cruiser,jeep 5 doors,black,Diesel,2015.0,120000.0,AT,249.0,7100000,4.5 TD AT Люкс Safety (5 мест) ,1VD-FTV,4.5 LTR,"Cầu Giấy, Hà Nội, Việt Nam",2022-08-20 05:00:00
14607,Toyota,Probox,station wagon,white,Gasoline,2016.0,156000.0,CVT,103.0,855000, 1.5 F 4WD,1NZ-FE,1.5 LTR,"Ba Đình, Hà Nội, Việt Nam",2022-08-20 05:00:00
8042,Infiniti,QX56,jeep 5 doors,white,Gasoline,2010.0,105000.0,AT,405.0,2150000,5.6 QX56 Hi-tech 7-местный,VK56VD,5.6 LTR,"Quận 8, Thành phố Hồ Chí Minh, Việt Nam",2022-08-20 05:00:00
14421,Toyota,Land Cruiser Prado,jeep 5 doors,grey,Gasoline,2015.0,78000.0,AT,163.0,3220000, 2.7 TX L Package 5 seat 4WD,2TR-FE,2.7 LTR,"Hải Phòng, Hải Phòng, Việt Nam",2022-08-20 05:00:00
11529,Lexus,CT200h,hatchback 5 doors,white,Gasoline,,190000.0,CVT,99.0,1120000,,,,"Bắc Từ Liêm, Hà Nội, Việt Nam",2022-08-20 05:00:00
