,brand,name,bodyType,color,fuelType,year,mileage,transmission,power,price,vehicleConfiguration,engineName,engineDisplacement,location,parse_date
610,Lexus,LX570,jeep 5 doors,black,GasolineMixBlack,,226000.0,AT,367.0,4100000,,,,"Hải Phòng, Hải Phòng, Việt Nam",2022-08-20 04:00:00
993,Toyota,Hiace,minivan,grey,Diesel,,193000.0,Automatic,144.0,1551000,,,,"Hai Bà Trưng, Hà Nội, Việt Nam",2022-08-20 05:00:00
531,Nissan,Note,hatchback 5 doors,whitemixblack,GasolineMixBlack,2013.0,1000.0,CVT,98.0,641000,1.2 Medalist,HR12DDR,1.2 LTR,"Móng Cái, Quảng Ninh, Việt Nam",2022-08-20 06:00:00
656,Lada,Priora,sedan,silver,GasolineMixBlack,2007.0,135000.0,Manual,98.0,245000,1.6 MT Люкс 21703-03-031,VAZ-21126,1.6 LTR,"Quận 1, Thành phố Hồ Chí Minh, Việt Nam",2022-08-20 07:00:00
210,Lexus,RX350,jeep 5 doors,whitemixblack,GasolineMixBlack,2019.0,26000.0,AT,300.0,6310000,3.5 AT F Sport,2GR-FKS ,3.5 LTR,"Quận 8, Thành phố Hồ Chí Minh, Việt Nam",2022-08-20 08:00:00
951,Nissan,Teana,sedan,grey,GasolineMixBlack,2016.0,21000.0,CVT,173.0,1651000, 2.5 XL Navi AVM Package,QR25DE,2.5 LTR,"Hạ Long, Quảng Ninh, Việt Nam",2022-08-20 09:00:00
522,Honda,Fit,hatchback 5 doors,grey,GasolineMixBlack,,81000.0,CVT,130.0,691000,,,,"Đông Triều, Quảng Ninh, Việt Nam",2022-08-20 10:00:00
215,Toyota,Succeed,station wagon,grey,GasolineMixBlack,2016.0,172000.0,CVT,109.0,751000, 1.5 UL,1NZ-FE,1.5 LTR,"Hải Phòng, Hải Phòng, Việt Nam",2022-08-20 10:00:00
389,Toyota,Prius,liftback,grey,GasolineMixBlack,2009.0,210000.0,CVT,76.0,715000,1.5 EX,1NZ-FXE,1.5 LTR,"Uông Bí, Quảng Ninh, Việt Nam",2022-08-20 11:00:00
429,Mazda,CX-8,jeep 5 doors,grey,Diesel,,51000.0,AT,190.0,2210000,,,,"Hải Phòng, Hải Phòng, Việt Nam",2022-08-20 11:00:00
705,Toyota,Corolla Fielder,station wagon,grey,GasolineMixBlack,2012.0,128000.0,CVT,103.0,751000,1.5 G 4WD,1NZ-FE,1.5 LTR,"Cầu Giấy, Hà Nội, Việt Nam",2022-08-20 12:00:00
164,Toyota,white,sedan,burgundy,GasolineMixBlack,2016.0,18000.0,CVT,143.0,1465000, 1.8 X EX Package,2ZR-FAE,1.8 LTR,"Móng Cái, Quảng Ninh, Việt Nam",2022-08-20 13:00:00
352,Toyota,Harrier,jeep 5 doors,black,GasolineMixBlack,2014.0,163000.0,CVT,152.0,2211000,2.5 Hybrid E-Four Elegance,2AR-FXE,2.5 LTR,"Móng Cái, Quảng Ninh, Việt Nam",2022-08-20 13:00:00
515,Toyota,Corolla,sedan,whitemixblack,GasolineMixBlack,1997.0,74000.0,Manual,110.0,321000,1.6 XE saloon,4A-FE,1.6 LTR,"Đông Triều, Quảng Ninh, Việt Nam",2022-08-20 15:00:00
240,Toyota,Land Cruiser Prado,jeep 5 doors,whitemixblack,GasolineMixBlack,2021.0,13000.0,AT,163.0,4251000, 2.7 TX L Package 7 seat 4WD,2TR-FE,2.7 LTR,"Hải Phòng, Hải Phòng, Việt Nam",2022-08-20 15:00:00
140,Toyota,Ipsum,minivan,black,GasolineMixBlack,1998.0,259000.0,AT,135.0,367000,2.0 aero touring,3S-FE,2.0 LTR,"Quận 1, Thành phố Hồ Chí Minh, Việt Nam",2022-08-20 16:00:00
177,Suzuki,Jimny Sierra,jeep 3 doors,,GasolineMixBlack,2018.0,21000.0,AT,102.0,1999999,1.5 JL Safety Support 4WD,K15B,1.5 LTR,"Hai Bà Trưng, Hà Nội, Việt Nam",2022-08-20 16:00:00
549,Mitsubishi,Pajero Mini,jeep 3 doors,grey,GasolineMixBlack,,241000.0,Manual,64.0,251000,,,,"Uông Bí, Quảng Ninh, Việt Nam",2022-08-20 17:00:00
624,Toyota,Corolla Axio,sedan,burgundy,GasolineMixBlack,2012.0,97000.0,CVT,109.0,771000,1.5 X,1NZ-FE,1.5 LTR,"Hoàng Mai, Hà Nội, Việt Nam",2022-08-20 17:00:00
848,Toyota,Corolla,sedan,whitemixblack,GasolineMixBlack,,161000.0,AT,105.0,451000,,,,"Thanh Xuân, Hà Nội, Việt Nam",2022-08-20 17:00:00
365,Toyota,Vitz,hatchback 5 doors,blue,GasolineMixBlack,2005.0,161000.0,CVT,71.0,410000,1.0 B intelligent package,1KR-FE,1.0 LTR,"Uông Bí, Quảng Ninh, Việt Nam",2022-08-20 18:00:00
444,Honda,HR-V,jeep 5 doors,whitemixblack,GasolineMixBlack,1999.0,251000.0,CVT,105.0,265000,1.6 J4,D16A,1.6 LTR,"Ba Đình, Hà Nội, Việt Nam",2022-08-20 18:00:00
713,Toyota,Hilux Surf,jeep 5 doors,whitemixblack,Diesel,,319000.0,AT,140.0,910000,,,,"Đông Triều, Quảng Ninh, Việt Nam",2022-08-20 18:00:00
677,Toyota,Corolla Fielder,station wagon,black,GasolineMixBlack,2015.0,110000.0,CVT,74.0,681000, 1.5 Hybrid G WxB,1NZ-FXE,1.5 LTR,"Uông Bí, Quảng Ninh, Việt Nam",2022-08-20 19:00:00
684,Honda,Crossroad,jeep 5 doors,whitemixblack,GasolineMixBlack,2007.0,162000.0,AT,140.0,935000,1.8 18X HID edition 4WD,R18A,1.8 LTR,"Quận 1, Thành phố Hồ Chí Minh, Việt Nam",2022-08-20 19:00:00
906,Nissan,Teana,sedan,grey,GasolineMixBlack,,148000.0,AT,160.0,381000,,,,"Quận 1, Thành phố Hồ Chí Minh, Việt Nam",2022-08-20 20:00:00
870,Toyota,Ipsum,minivan,,GasolineMixBlack,,1000.0,AT,160.0,415000,,,,"Long Biên, Hà Nội, Việt Nam",2022-08-20 20:00:00
896,Toyota,Vitz,hatchback 5 doors,grey,GasolineMixBlack,2010.0,56000.0,CVT,71.0,497000,1.0 B S edition,1KR-FE,1.0 LTR,"Quận 8, Thành phố Hồ Chí Minh, Việt Nam",2022-08-20 20:00:00
